,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6
39,108,396,4614,4614,Razzle Dazzle College of Hair Design Inc,Nampa,ID,1,3,22.0,,,,,,,,,0.0,117.0,0.8034,0.0,0.1795,0.0,0.0,0.0,0.0171,0.0,0.0,0.0,,15420.0,0.5673,,0.5263,,,0.5962,0.4188,12910,143.3274655,0.56779661,,0.87096129,15800,0.140625
238,62,116,2859,2859,Torah Temimah Talmudical Seminary,Brooklyn,NY,3,2,11.0,,,,,,,,,0.0,180.0,0.9778,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,,7851.0,0.3194,0.4808,,,,0.0,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.023489412,,PrivacySuppressed,PrivacySuppressed
104,223,354,655,655,Bel-Rea Institute of Animal Technology,Denver,CO,2,3,11.0,,,,,,,,,0.0,576.0,0.7413,0.0208,0.1302,0.0122,0.0,0.0,0.0556,0.0017,0.0382,0.0,,21736.0,0.5088,,0.6395,,,0.7493,0.4444,28731,318.9729986,0.757097792,,0.619151507,30600,0.528017223
157,179,246,7530,7530,Alexander Academy,Fitchburg,MA,1,3,22.0,,,,,,,,,0.0,29.0,0.4483,0.2759,0.2759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22121.0,0.6034,,0.4167,,,0.5517,0.4483,8930,99.1413065,,,,,
195,28,506,1557,1557,Asbury Theological Seminary,Wilmore,KY,4,2,31.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,PrivacySuppressed,,,40000,0.733870983
316,257,41,107,107,Anthem College-Phoenix,Phoenix,AZ,2,3,11.0,,,,,,,,,0.0,2238.0,0.4303,0.269,0.1649,0.0125,0.0478,0.0004,0.0277,0.0,0.0474,0.0,,28541.0,0.7791,0.875,,,,0.8631,0.6997,14024,155.6951492,0.510501879,0.547663019,,29500,0.467202514
208,407,372,3658,3658,Temple University,Philadelphia,PA,3,1,11.0,555.0,565.0,555.0,25.0,25.0,25.0,7.0,1121.0,0.0,27511.0,0.6028,0.1352,0.0542,0.1011,0.0019,0.0009,0.0232,0.0348,0.0458,0.1058,20845.0,,0.3352,0.8883,,0.6957,,0.6583,0.1241,25799,286.421788,0.862263979,0.661003279,,46500,0.706463337
126,182,370,7078,7078,Unitek College,Fremont,CA,1,3,21.0,,,,,,,,,0.0,904.0,0.1283,0.0409,0.156,0.3097,0.0011,0.0199,0.0531,0.0022,0.2887,0.0,,28463.0,0.4985,,,,,0.6397,0.5774,10281,114.1401761,1,0.790922042,,,
66,119,271,1397,1397,Saint Elizabeth School of Nursing,Lafayette,IN,1,2,13.0,465.0,475.0,460.0,,,,,940.0,0.0,269.0,0.9145,0.0483,0.0297,0.0,0.0037,0.0037,0.0,0.0,0.0,0.2119,,26617.0,0.4743,,0.75,,,0.8577,0.4721,31250,346.9390625,0.883211679,,0.500005882,41800,0.783333361
271,1,477,439,439,Los Medanos College,Pittsburg,CA,2,1,21.0,,,,,,,,,0.0,7502.0,0.2831,0.159,0.36,0.0985,0.0025,0.0071,0.0666,0.004,0.0191,0.6485,8387.0,,0.2708,,0.7190000000000001,,0.5206,0.0089,0.3249,PrivacySuppressed,PrivacySuppressed,0.62195122,,0.323786248,34300,0.487627357
18,388,21,6218,6218,University of Phoenix-Austin Campus,Austin,TX,3,3,11.0,,,,,,,,,0.0,704.0,0.1776,0.2401,0.1591,0.0043,0.0028,0.0071,0.0213,0.0085,0.3793,0.0,,19745.0,0.5522,0.4359,,,,0.5174,0.8793,35500,394.122775,0.406534043,0.107843137,,53400,0.705231071
198,336,389,1092,1092,Eastern Idaho Technical College,Idaho Falls,ID,1,1,13.0,,,,,,,,,0.0,575.0,0.7774,0.0017,0.1809,0.0122,0.006999999999999999,0.0139,0.0052,0.0,0.0017,0.4974,8164.0,,0.7236,,0.6216,,0.4483,0.5242,0.6041,11593,128.7060657,0.717032967,,0.607121429,28400,0.452531636
163,387,252,880,880,Keiser University-Daytona,Daytona Beach,FL,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27500,305.306375,0.468016739,,,29600,0.549784839
203,240,405,4800,4800,ITT Technical Institute-Austin,Austin,TX,2,3,11.0,,,,,,,,,0.0,432.0,0.412,0.1898,0.3264,0.0093,0.0139,0.0,0.0185,0.0,0.0301,0.1944,,23380.0,0.6759,,,,,0.7509999999999999,0.7338,25833.5,286.8048087,0.394119686,0.36530274,,38400,0.591855824
19,248,394,2249,2249,Ozarks Technical Community College,Springfield,MO,2,1,12.0,,,,,,,,,0.0,13087.0,0.8955,0.0322,0.0313,0.0096,0.0074,0.0,0.0015,0.0002,0.0224,0.4731,8091.0,,0.5715,,0.5913,,0.4096,0.6914,0.3873,14250,158.2042125,0.543905636,,0.228854372,27500,0.44152227
231,409,458,7639,7639,The College of Health Care Professions-Fort Worth,Fort Worth,TX,0,3,11.0,,,,,,,,,0.0,208.0,0.3846,0.2212,0.3413,0.0385,0.0,0.0048,0.0048,0.0,0.0048,0.0,,24859.0,0.585,,,,,0.7075,0.4808,9500,105.469475,0.466543892,,,,
92,220,367,5749,5749,Pierce College at Puyallup,Puyallup,WA,2,1,21.0,,,,,,,,,0.0,2731.0,0.621,0.0432,0.0817,0.0472,0.006999999999999999,0.0114,0.0776,0.0073,0.1036,0.532,9381.0,,0.3044,,0.5119,,0.4857,0.1893,0.2821,12704,141.0404432,0.649817296,,0.23873038,34200,0.558011055
69,238,242,291,291,CET-El Centro,El Centro,CA,1,2,13.0,,,,,,,,,0.0,234.0,0.0171,0.0085,0.9658,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,,-264.0,0.4565,,0.8519,,,0.0783,0.5897,5450,60.5061725,0.340693196,,0.903872093,21600,0.354960531
210,282,200,6087,6087,Medical Professional Institute,Malden,MA,1,3,21.0,,,,,,,,,0.0,283.0,0.2367,0.4947,0.1696,0.0318,0.0071,0.0,0.0,0.0,0.0601,0.5406,,16732.0,0.401,,1.0,,0.5938,0.6822,0.6961,13131,145.7810186,0.569230769,,0.795879592,PrivacySuppressed,PrivacySuppressed
96,365,134,7589,7589,ITT Technical Institute-Salem,Salem,OR,0,3,12.0,,,,,,,,,0.0,191.0,0.7801,0.0209,0.0733,0.0105,0.0314,0.0052,0.0262,0.0,0.0524,0.1466,,22403.0,0.7955,,,,,0.8864,0.6806,25833.5,286.8048087,0.394119686,,,,
97,167,123,5992,5992,Pierpont Community and Technical College,Fairmont,WV,2,1,32.0,,,,,,,,,0.0,2108.0,0.8278,0.102,0.0209,0.0047,0.0028,0.0019,0.0261,0.0005,0.0133,0.1902,9045.0,,0.519,,0.3843,,0.3286,0.586,0.2993,14975,166.2531988,0.37309417,,0.1614475,,
172,136,422,2549,2549,Institute of American Indian and Alaska Native Culture,Santa Fe,NM,3,1,41.0,,,,,,,,,0.0,225.0,0.04,0.0,0.0267,0.0089,0.8578,0.0044,0.0,0.0444,0.0178,0.28,10181.0,,0.3944,0.6923,,1.0,,0.0,0.3546,PrivacySuppressed,PrivacySuppressed,0.457142857,0.268319512,,21300,0.210526317
68,249,221,2510,2510,P B Cosmetology Education Center,Gloucester,NJ,1,3,21.0,,,,,,,,,0.0,180.0,0.6778,0.1111,0.1556,0.0111,0.0,0.0,0.0444,0.0,0.0,0.2778,,17473.0,0.3936,,0.8333,,1.0,0.6028,0.2722,10208.5,113.3352774,0.67578125,,0.74735614,21600,0.270000011
23,393,443,221,221,American Conservatory Theater,San Francisco,CA,1,2,11.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,PrivacySuppressed,,,PrivacySuppressed,PrivacySuppressed
37,199,294,2333,2333,Westminster College,Fulton,MO,3,2,32.0,470.0,540.0,475.0,24.0,25.0,23.0,8.0,1090.0,0.0,1022.0,0.6644,0.0587,0.0323,0.0108,0.0245,0.001,0.0108,0.1732,0.0245,0.0059,,18948.0,0.2844,0.7799,,,,0.7596,0.0273,27000,299.75535,0.828908555,0.696592814,,41500,0.632478654
249,216,258,691,691,Metropolitan State University of Denver,Denver,CO,3,1,11.0,525.0,540.0,,21.0,20.0,20.0,,973.0,0.0,21696.0,0.6064,0.0604,0.2095,0.0342,0.0073,0.0026,0.0338,0.0046,0.0412,0.3994,10586.0,,0.3851,0.6579999999999999,,0.4757,,0.512,0.4505,25000,277.55125,0.70956584,0.254927534,,38600,0.622741282
67,222,425,3519,3519,King's College,Wilkes-Barre,PA,3,2,13.0,,,,,,,,,0.0,1987.0,0.7952,0.0267,0.0689,0.0201,0.0015,0.001,0.0186,0.0015,0.0664,0.0332,,24541.0,0.2917,0.7563,,,,0.7659999999999999,0.056,27000,299.75535,0.879604672,0.66991607,,48900,0.740648389
