,INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,NET_COST,Binary_25k
4436,Tarrant County College District,Fort Worth,TX,2,1,11.0,,,,,,,,,0.0,43464.0,0.4332,0.1963,0.275,0.057,0.005,0.0018,0.015,0.0078,0.0087,0.622,5983.0,,0.3666,,0.5614,,0.4496,0.2465,0.368,8542.0,94.83371109999999,0.517849074,,0.129768559,34300.0,0.539585888,5983.0,0.0
3714,Cannella School of Hair Design-Elgin,Elgin,IL,1,3,12.0,,,,,,,,,0.0,79.0,0.0,0.0127,0.9873,0.0,0.0,0.0,0.0,0.0,0.0,0.8354,,6262.0,0.7222,,0.9167,,0.8636,0.3611,0.6962,3500.0,38.857175,0.6521739129999999,,0.9411647059999999,,0.296875,6262.0,0.0
6144,Management Resources Institute,Miami,FL,1,3,11.0,,,,,,,,,0.0,507.0,0.0059,0.1696,0.8185,0.0,0.0,0.002,0.0,0.0,0.0039,0.0,,20572.0,0.8513,,0.7336,,,0.5851,0.8698,7136.0,79.22422879999999,0.7242524920000001,,0.9466,,,20572.0,
3856,Paul Smiths College of Arts and Science,Paul Smiths,NY,3,2,42.0,490.0,480.0,,23.0,19.0,20.0,,986.0,0.0,978.0,0.682,0.0112,0.0337,0.002,0.0041,0.0,0.0123,0.002,0.2526,0.0092,,23258.0,0.4338,0.6915,,,,0.8197,0.0632,23250.0,258.1226625,0.836826347,0.412497306,,32200.0,0.53531599,23258.0,0.0
98,Kaskaskia College,Centralia,IL,1,1,41.0,,,,,,,,,0.0,3091.0,0.8547,0.0906,0.0226,0.0045,0.0061,0.0,0.0165,0.0016,0.0032,0.4044,5230.0,,0.3321,,0.5496,,0.3836,0.0909,0.314,6500.0,72.163325,0.47200000000000003,,0.46481031799999994,24600.0,0.402360529,5230.0,0.0
1969,Mountain View College,Dallas,TX,2,1,11.0,,,,,,,,,0.0,7419.0,0.1181,0.2612,0.5472,0.0357,0.003,0.0003,0.0098,0.0018,0.0229,0.7609999999999999,6984.0,,0.3767,,0.5891,,0.4848,0.0866,0.3394,,,0.390186916,,0.153057993,30700.0,0.50709486,6984.0,0.0
1574,Appalachian School of Law,Grundy,VA,4,2,43.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Strayer University-Sand Lake Campus,Orlando,FL,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39499.5,438.52542400000004,0.44477491700000005,,,51700.0,0.722576857,,1.0
4435,Spa Tech Institute-Westboro,Westboro,MA,1,3,21.0,,,,,,,,,0.0,93.0,0.828,0.0215,0.0968,0.0108,0.0,0.0,0.0,0.0,0.043,0.5269,,18136.0,0.3015,,,,,0.3235,0.6882,6333.0,70.30928265,0.7242302540000001,,0.851355405,22300.0,0.370843977,18136.0,0.0
1182,University of Management and Technology,Arlington,VA,3,3,12.0,,,,,,,,,0.0,781.0,0.2471,0.1857,0.0691,0.16899999999999998,0.0051,0.0102,0.009000000000000001,0.0,0.3047,0.0563,,16054.0,0.0617,0.6667,,,,0.0504,0.9516,,,,,,,,16054.0,
4626,North Carolina A & T State University,Greensboro,NC,3,1,11.0,440.0,460.0,430.0,19.0,18.0,20.0,,902.0,0.0,8577.0,0.0429,0.8681,0.0208,0.0069,0.0034,0.001,0.0203,0.0178,0.0188,0.0655,8379.0,,0.5878,0.7977,,0.625,,0.7788,0.1128,23005.5,255.40821129999998,0.490979381,0.42696675799999995,,33600.0,0.499502808,8379.0,0.0
2714,Everest College-Colorado Springs,Colorado Springs,CO,1,3,11.0,,,,,,,,,0.0,389.0,0.4319,0.2262,0.1799,0.0077,0.0257,0.0257,0.0925,0.0,0.0103,0.2031,,19916.0,0.7448,,0.7059,,0.25,0.6207,0.5758,9500.0,105.469475,0.334682861,,0.53577991,24700.0,0.428930819,19916.0,0.0
4894,Minneapolis Community and Technical College,Minneapolis,MN,2,1,11.0,,,,,,,,,0.0,8938.0,0.414,0.3124,0.0916,0.0591,0.0159,0.0009,0.0839,0.0159,0.0064,0.6275,14467.0,,0.5723,,0.5207,,0.384,0.5258,0.5382,17520.0,194.507916,0.480524416,,0.150405589,32800.0,0.522653699,14467.0,0.0
5237,Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,1,1,41.0,,,,,,,,,0.0,195.0,0.9231,0.0308,0.0154,0.0256,0.0051,0.0,0.0,0.0,0.0,0.0974,10611.0,,0.5589,,0.8686,,,0.6882,0.2284,8601.0,95.48873205,0.808383234,,0.876517131,,,10611.0,
3860,Brown Mackie College-Merrillville,Merrillville,IN,2,3,21.0,,,,,,,,,0.0,619.0,0.3473,0.5202,0.1099,0.0081,0.0032,0.0016,0.0,0.0,0.0097,0.0,,18575.0,0.8168,0.0,,,,0.7637,0.6688,21599.0,239.79317799999998,0.28935931600000003,0.42975124,,25200.0,0.501259446,18575.0,0.0
1447,Hebrew Union College-Jewish Institute of Religion,New York,NY,4,2,11.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4332,Visible Music College,Memphis,TN,3,2,11.0,500.0,515.0,505.0,24.0,24.0,23.0,10.0,1070.0,0.0,118.0,0.7797,0.1525,0.0254,0.0085,0.0,0.0,0.0,0.0254,0.0085,0.0678,,31229.0,0.4444,0.7083,,,,0.8889,0.1356,25750.0,285.8777875,0.945454545,0.5277666670000001,,,,31229.0,
3277,Hypnosis Motivation Institute,Tarzana,CA,1,2,11.0,,,,,,,,,0.0,111.0,0.5946,0.0901,0.1441,0.0811,0.0,0.0,0.0901,0.0,0.0,0.0,,36492.0,0.3756,,,,,0.8371,0.9459,9500.0,105.469475,0.594594595,,0.841557377,18200.0,0.410714298,36492.0,0.0
4591,Baldwin Beauty School-South Austin,Austin,TX,1,3,11.0,,,,,,,,,0.0,76.0,0.4605,0.0132,0.5263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8213.0,0.5752,,0.9524,,,0.0,0.0789,,,,,0.7241215520000001,22200.0,0.314285725,8213.0,0.0
1324,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Brooklyn,NY,0,2,11.0,,,,,,,,,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7220.0,0.6765,1.0,,,,0.0,,,,,,,,,7220.0,
1751,Chapman University,Orange,CA,3,2,12.0,595.0,615.0,605.0,27.0,28.0,27.0,9.0,1208.0,0.0,5940.0,0.5978,0.0162,0.1433,0.0981,0.003,0.0024,0.0586,0.038,0.0426,0.0348,,33821.0,0.2035,0.9073,,0.4,,0.6536,0.0303,20250.0,224.8165125,0.870821014,0.7416569759999999,,51800.0,0.729709864,33821.0,1.0
4516,Strayer University-Columbus,Columbus,GA,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39499.5,438.52542400000004,0.44477491700000005,,,51700.0,0.722576857,,1.0
834,Valley City State University,Valley City,ND,3,1,33.0,440.0,475.0,410.0,21.0,19.0,21.0,,967.0,0.0,924.0,0.8095,0.04,0.0498,0.0076,0.0119,0.0043,0.0184,0.0465,0.0119,0.2413,11664.0,,0.2644,0.6444,,0.2857,,0.4761,0.2403,22777.5,252.87694390000001,0.875,0.437680886,,36700.0,0.683385551,11664.0,1.0
4469,Georgia Perimeter College,Decatur,GA,2,1,21.0,,,,,,,,,0.0,18982.0,0.2919,0.4256,0.0844,0.0926,0.0034,0.0012,0.0326,0.0496,0.0188,0.5872,6558.0,,0.4752,,0.5821,,0.4163,0.2608,0.3542,12500.0,138.775625,0.484285466,,0.123552575,32500.0,0.507958174,6558.0,0.0
94,Medical Professional Institute,Malden,MA,1,3,21.0,,,,,,,,,0.0,283.0,0.2367,0.4947,0.1696,0.0318,0.0071,0.0,0.0,0.0,0.0601,0.5406,,16732.0,0.401,,1.0,,0.5938,0.6822,0.6961,13131.0,145.7810186,0.569230769,,0.795879592,,,16732.0,
4721,ITT Technical Institute-Arlington,Arlington,TX,2,3,11.0,,,,,,,,,0.0,612.0,0.3873,0.3121,0.2435,0.0114,0.0114,0.0033,0.0196,0.0,0.0114,0.1863,,23932.0,0.6527,,,,,0.7415,0.7435,25833.5,286.80480869999997,0.394119686,0.35460239,,38400.0,0.591855824,23932.0,0.0
6175,Academy College,Minneapolis,MN,2,3,13.0,,,,,,,,,0.0,140.0,0.6857,0.15,0.0143,0.0857,0.0071,0.0071,0.0143,0.0,0.0357,0.2857,,23321.0,0.5921,,,1.0,,0.7763,0.6779,36387.0,403.9702934,0.48,0.44262623,,38300.0,0.530973434,23321.0,0.0
2108,Carrington College-Mesa,Mesa,AZ,1,3,11.0,,,,,,,,,0.0,691.0,0.4486,0.0463,0.3343,0.026,0.1172,0.0072,0.0072,0.0,0.013,0.097,,22169.0,0.7296,,0.7179,,,0.5289,0.4588,9500.0,105.469475,0.475178297,,0.671635807,26200.0,0.432048112,22169.0,0.0
2930,Philander Smith College,Little Rock,AR,3,2,12.0,,,,,,,,,0.0,554.0,0.0072,0.8935,0.0036,0.0036,0.0,0.0018,0.0126,0.0776,0.0,0.056,,19029.0,0.7282,0.5432,,0.1667,,0.8784,0.1673,31000.0,344.16355,0.317010309,0.395163415,,26200.0,0.324561417,19029.0,0.0
5046,City Colleges of Chicago-Richard J Daley College,Chicago,IL,1,1,11.0,,,,,,,,,0.0,4791.0,0.1037,0.3118,0.5291,0.0146,0.0021,0.0004,0.0092,0.0002,0.0288,0.4828,4969.0,,0.2923,,0.4717,,0.3819,0.0283,0.575,6500.0,72.163325,0.661290323,,0.142326748,29000.0,0.429065734,4969.0,0.0
948,Mr Bernard's School of Hair Fashion Inc,Lewiston,ME,1,3,13.0,,,,,,,,,0.0,132.0,0.7803,0.0227,0.0152,0.0076,0.0455,0.0,0.0227,0.0,0.1061,0.0833,,12035.0,0.6449,,0.8592,,0.8571,0.6542,0.5529999999999999,16080.0,178.520964,0.32038835,,0.48028709700000005,17600.0,0.126436785,12035.0,0.0
